comment,clean_comment,sentiment,score
4 april 2026.., april ,Neutral,0
"Bro, it&#39;s been 10 years 💔",bro its been  years ,Neutral,0
amazing!,amazing,Neutral,0
Flashlight x aisitheru,flashlight x aisitheru,Neutral,0
One of the most beautifully sang songs! Jessie is honestly one of the best female vocals to come out in the past 30 years ❤,one of the most beautifully sang songs jessie is honestly one of the best female vocals to come out in the past  years ,Neutral,0
2026 alguém ❤❤❤, algum ,Neutral,0
Perfect ❤,perfect ,Neutral,0
"My mom  is my flashlight  now  and  always  i love  her so much   <a href=""http://www.youtube.com/results?search_query=%23mama"">#mama</a> baby  4 forever",my mom  is my flashlight  now  and  always  i love  her so much   mama baby   forever,Neutral,0
This song is fantastic I love the film pitch perfect and Jessie J does this song proud,this song is fantastic i love the film pitch perfect and jessie j does this song proud,Neutral,0
Aqui ❤❤❤❤,aqui ,Neutral,0
Hun 7d mouritani?,hun d mouritani,Neutral,0
Love this song 🥰🥰,love this song ,Neutral,0
I think I liked it better when Hailee Steinfield sang it,i think i liked it better when hailee steinfield sang it,Neutral,0
Why there is so many brazilians comments?😂,why there is so many brazilians comments,Neutral,0
